row ID,#splits (level 0),#splits (level 1),#splits (level 2),#candidates (level 0),#candidates (level 1),#candidates (level 2),,,
cat102,10,9,11,11,13,26,2.024475524,2.024475524,100.00%
cat90,8,8,3,10,15,18,1.5,2.024475524,74.09%
cat105,11,6,7,14,16,24,1.452380952,2.024475524,71.74%
cat107,4,12,9,7,25,29,1.361773399,2.024475524,67.27%
cat89,4,5,9,7,14,27,1.261904762,2.024475524,62.33%
cat115,7,4,8,10,15,30,1.233333333,2.024475524,60.92%
cat111,2,7,8,4,16,32,1.1875,2.024475524,58.66%
cat101,5,2,10,14,12,32,0.836309524,2.024475524,41.31%
cat114,5,4,6,11,18,38,0.834662414,2.024475524,41.23%
cat88,2,7,2,6,19,29,0.770719903,2.024475524,38.07%
cat74,4,5,5,15,16,27,0.764351852,2.024475524,37.76%
cat92,3,3,4,9,12,26,0.737179487,2.024475524,36.41%
cat96,2,3,3,10,9,29,0.636781609,2.024475524,31.45%
cat104,1,6,5,7,19,32,0.614896617,2.024475524,30.37%
cat75,5,4,0,14,19,25,0.567669173,2.024475524,28.04%
cat73,7,1,5,21,25,32,0.529583333,2.024475524,26.16%
cat100,3,1,6,13,21,24,0.528388278,2.024475524,26.10%
cat91,2,4,3,9,21,26,0.528083028,2.024475524,26.08%
cat112,0,3,6,10,12,30,0.45,2.024475524,22.23%
cat64,1,4,4,7,22,32,0.449675325,2.024475524,22.21%
cat62,4,0,1,11,17,23,0.407114625,2.024475524,20.11%
cat22,1,5,1,6,27,27,0.388888889,2.024475524,19.21%
cat95,0,2,5,11,13,31,0.315136476,2.024475524,15.57%
cat63,1,1,2,6,17,33,0.286096257,2.024475524,14.13%
cat15,1,1,1,7,12,28,0.261904762,2.024475524,12.94%
cat108,1,1,3,10,27,27,0.248148148,2.024475524,12.26%
cat87,0,3,3,7,18,37,0.247747748,2.024475524,12.24%
cat80,0,3,2,8,20,23,0.236956522,2.024475524,11.70%
cat103,0,1,3,12,11,23,0.221343874,2.024475524,10.93%
cat37,0,2,2,8,13,35,0.210989011,2.024475524,10.42%
cat79,0,2,2,11,16,24,0.208333333,2.024475524,10.29%
cat56,0,1,3,10,14,23,0.201863354,2.024475524,9.97%
cat97,0,2,1,7,13,22,0.199300699,2.024475524,9.84%
cat86,1,0,2,8,22,30,0.191666667,2.024475524,9.47%
cat1,0,3,1,4,20,25,0.19,2.024475524,9.39%
cat77,2,1,0,15,18,27,0.188888889,2.024475524,9.33%
cat61,0,3,1,10,21,29,0.177339901,2.024475524,8.76%
cat16,0,1,2,3,14,19,0.176691729,2.024475524,8.73%
cat5,0,1,3,6,18,27,0.166666667,2.024475524,8.23%
cat11,0,0,5,10,17,32,0.15625,2.024475524,7.72%
cat48,0,0,5,13,10,33,0.151515152,2.024475524,7.48%
cat35,1,0,2,10,13,40,0.15,2.024475524,7.41%
cat2,0,1,2,5,19,22,0.14354067,2.024475524,7.09%
cat14,0,2,1,5,19,30,0.138596491,2.024475524,6.85%
cat68,0,3,0,15,22,24,0.136363636,2.024475524,6.74%
cat27,0,1,2,9,18,26,0.132478632,2.024475524,6.54%
cat106,0,2,2,10,27,35,0.131216931,2.024475524,6.48%
cat7,0,1,1,3,11,26,0.129370629,2.024475524,6.39%
cat58,0,2,1,6,22,26,0.129370629,2.024475524,6.39%
cat57,0,0,4,9,21,31,0.129032258,2.024475524,6.37%
cat98,0,0,3,11,17,24,0.125,2.024475524,6.17%
cont6,0,2,0,8,16,23,0.125,2.024475524,6.17%
cat20,1,0,1,11,10,33,0.121212121,2.024475524,5.99%
cat9,0,0,3,9,8,26,0.115384615,2.024475524,5.70%
cat18,1,0,0,9,17,33,0.111111111,2.024475524,5.49%
cat83,0,0,3,6,21,27,0.111111111,2.024475524,5.49%
cont14,0,0,4,15,20,38,0.105263158,2.024475524,5.20%
cat81,0,0,3,8,19,29,0.103448276,2.024475524,5.11%
cat70,0,1,1,6,19,22,0.098086124,2.024475524,4.85%
cont13,0,1,1,4,15,33,0.096969697,2.024475524,4.79%
cont10,0,1,1,14,17,27,0.095860566,2.024475524,4.74%
cat69,0,1,2,10,25,37,0.094054054,2.024475524,4.65%
cat99,0,1,1,8,21,24,0.089285714,2.024475524,4.41%
cat34,0,0,2,9,22,23,0.086956522,2.024475524,4.30%
cat55,0,0,2,10,21,23,0.086956522,2.024475524,4.30%
cat78,0,1,1,8,23,26,0.081939799,2.024475524,4.05%
cat26,0,2,0,8,25,27,0.08,2.024475524,3.95%
cat29,0,1,0,11,13,35,0.076923077,2.024475524,3.80%
cat23,0,0,2,11,14,27,0.074074074,2.024475524,3.66%
cat46,0,1,1,7,32,26,0.069711538,2.024475524,3.44%
cat3,0,1,0,5,15,30,0.066666667,2.024475524,3.29%
cat94,0,1,0,13,15,28,0.066666667,2.024475524,3.29%
cont11,0,1,0,7,15,26,0.066666667,2.024475524,3.29%
cat59,0,1,0,10,16,33,0.0625,2.024475524,3.09%
cont4,0,0,2,9,16,32,0.0625,2.024475524,3.09%
cat43,0,0,2,5,17,35,0.057142857,2.024475524,2.82%
cat8,0,0,2,6,16,36,0.055555556,2.024475524,2.74%
cat10,0,0,1,11,16,18,0.055555556,2.024475524,2.74%
cat67,0,1,0,9,20,32,0.05,2.024475524,2.47%
cat36,0,0,1,8,12,21,0.047619048,2.024475524,2.35%
cat6,0,1,0,9,22,38,0.045454545,2.024475524,2.25%
cat50,0,0,1,12,12,23,0.043478261,2.024475524,2.15%
cat85,0,0,1,9,21,23,0.043478261,2.024475524,2.15%
cont1,0,0,1,10,15,23,0.043478261,2.024475524,2.15%
cat41,0,0,1,6,12,24,0.041666667,2.024475524,2.06%
cat84,0,0,1,9,10,25,0.04,2.024475524,1.98%
cat66,0,0,1,10,18,26,0.038461538,2.024475524,1.90%
cat47,0,0,1,7,11,27,0.037037037,2.024475524,1.83%
cat82,0,0,1,7,18,27,0.037037037,2.024475524,1.83%
cat4,0,0,1,8,24,28,0.035714286,2.024475524,1.76%
cat49,0,0,1,5,13,28,0.035714286,2.024475524,1.76%
cont5,0,0,1,6,21,28,0.035714286,2.024475524,1.76%
cat32,0,0,1,6,22,29,0.034482759,2.024475524,1.70%
cat42,0,0,1,4,28,29,0.034482759,2.024475524,1.70%
cat54,0,0,1,9,20,29,0.034482759,2.024475524,1.70%
cat39,0,0,1,6,17,30,0.033333333,2.024475524,1.65%
cont3,0,0,1,9,20,30,0.033333333,2.024475524,1.65%
cat25,0,0,1,12,17,31,0.032258065,2.024475524,1.59%
cat31,0,0,1,6,24,31,0.032258065,2.024475524,1.59%
cat53,0,0,1,12,9,33,0.03030303,2.024475524,1.50%
cont2,0,0,1,10,19,33,0.03030303,2.024475524,1.50%
cont8,0,0,1,9,19,35,0.028571429,2.024475524,1.41%
cat13,0,0,1,4,16,36,0.027777778,2.024475524,1.37%
cat51,0,0,1,8,16,39,0.025641026,2.024475524,1.27%
cat12,0,0,0,13,17,37,0,2.024475524,0.00%
cat17,0,0,0,8,16,31,0,2.024475524,0.00%
cat19,0,0,0,12,22,27,0,2.024475524,0.00%
cat21,0,0,0,10,21,23,0,2.024475524,0.00%
cat24,0,0,0,4,8,25,0,2.024475524,0.00%
cat28,0,0,0,17,18,28,0,2.024475524,0.00%
cat30,0,0,0,4,23,33,0,2.024475524,0.00%
cat33,0,0,0,6,15,24,0,2.024475524,0.00%
cat38,0,0,0,6,14,19,0,2.024475524,0.00%
cat40,0,0,0,7,23,22,0,2.024475524,0.00%
cat44,0,0,0,9,17,32,0,2.024475524,0.00%
cat45,0,0,0,7,16,20,0,2.024475524,0.00%
cat52,0,0,0,10,10,27,0,2.024475524,0.00%
cat60,0,0,0,8,12,22,0,2.024475524,0.00%
cat65,0,0,0,5,12,27,0,2.024475524,0.00%
cat71,0,0,0,8,18,36,0,2.024475524,0.00%
cat72,0,0,0,4,15,24,0,2.024475524,0.00%
cat76,0,0,0,10,19,17,0,2.024475524,0.00%
cat93,0,0,0,4,18,21,0,2.024475524,0.00%
cont7,0,0,0,10,17,27,0,2.024475524,0.00%
cont9,0,0,0,7,23,36,0,2.024475524,0.00%
cont12,0,0,0,8,20,19,0,2.024475524,0.00%
